Algorithm,Goal reached,Avg Time,Var Time,STD Time,Avg Iterations,Var Iterations,STD iterations,Avg action count,Var action count,STD action count,Avg convergence action,Var convergence actio ,STD convergence action,Shortest Path,Longest Path
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 2, decay_rate = 0.1, decay_function = inverse_time_decay)",TRUE,0.6524745702743531,0.005637312,0.075082037,258.5,208.85,14.451643505151932,128200.1,55770245.68999998,7467.947890150278,128000,56000000,7483.314773547882,1637,31184
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 2, decay_rate = 0.01, decay_function = inverse_time_decay)",TRUE,5.277057552337647,0.084667452,0.29097672089538906,2400,13366.8,115.61487793532457,1184219.2,3230909868.7599998,56841.093134808725,1184000,3224000000,56780.27826631356,42,1712
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 1, gamma = 1, epsilon = 1, omega = 2, decay_rate = 0.001, decay_function = inverse_time_decay)",TRUE,41.42060551643372,9.561424886,3.0921553787299922,18681.4,151274.24,388.9398925283957,9215200.2,36375113145,190722.60784909586,9215000,36365000000,190696.0933003086,39,54
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 0.75, decay_rate = 1, decay_function = inverse_time_decay)",FALSE,0.5704263687133789,0.020970675637240675,0.14481255345183536,188.2,158.16000000000003,12.576167937809991,93266.3,41641203.010000005,6452.999535874771,93000,41000000,6403.1242374328485,132,100002
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 0.75, decay_rate = 0.1, decay_function = inverse_time_decay)",TRUE,4.607140755653381,0.1418320003275022,0.37660589523731863,1921.1,2283.4900000000002,47.785876574569606,948300.4,533476214.23999995,23097.10402279905,948000,536000000,23151.673805580453,79,7699
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 0.75, decay_rate = 0.01, decay_function = inverse_time_decay)",TRUE,43.26389164924622,3.1759937435617283,1.7821317974722657,19709.6,383816.64,619.5293697638555,9720578.3,93880096442,306398.59079605766,1830000,1.34081E+13,3661707.2520888397,39,51
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 0.75, decay_rate = 0.001, decay_function = inverse_time_decay)",TRUE,44.529251194000246,8.471631523821694,2.910606727784036,19999,0,0,9867798,11788427,3433.4278789571217,0,0,0,39,67
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 0.875, decay_rate = 1, decay_function = inverse_time_decay)",FALSE,0.3125385999679565,0.006295912,0.079346785,100.9,0.29000000000000004,0.5385164807134505,50241,24193.8,155.54356302978275,50000,0,0,3828,100002
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 0.875, decay_rate = 0.1, decay_function = inverse_time_decay)",TRUE,2.028373193740845,0.035921145,0.18952874516826887,939.7,4269.61,65.34225279250785,464208.5,1024754733,32011.790531771258,464000,1024000000,32000,199,64913
"Stochastic-problem (0.7 success) Q-learning (converging, alpha_zero = 0.1, gamma = 1, epsilon = 1, omega = 0.875, decay_rate = 0.01, decay_function = inverse_time_decay)",TRUE,21.09503569602966,0.2598117330939226,0.5097173070378547,9467.5,44469.05,210.87685980211296,4670267.2,10889080265,104350.7559376548,4670000,10880000000,104307.23848324238,41,136
